bin_center,count,density
-845000,22,0.022878326108808848
-844000,23,0.02318867661961979
-843000,23,0.02373319732921511
-842000,24,0.024385077317249773
-841000,25,0.025001403447554197
-840000,25,0.02545709987359462
-839000,25,0.025673902126793765
-838000,25,0.025637343843195184
-837000,25,0.025397692367885066
-836000,25,0.025054718731614595
-835000,24,0.024730160110275776
-834000,24,0.024534755613120757
-833000,24,0.024538068633512572
-832000,24,0.02474862465394592
-831000,25,0.025109359942912274
-830000,25,0.02550961459199846
-829000,25,0.02581083440304976
-828000,25,0.02587976718461174
-827000,25,0.02562107822957731
-826000,25,0.025001423733833746
-825000,24,0.024059082891650756
-824000,22,0.02289675569532748
-823000,21,0.021659226786687143
-822000,20,0.020501275000536962
-821000,19,0.01955357372934114
-820000,18,0.01889480068304114
-819000,18,0.018536641849050683
-818000,18,0.018425209545297822
-817000,18,0.018458373616361556
-816000,18,0.018514612591692552
-815000,18,0.01848618082339811
-814000,18,0.018308346064469277
-813000,17,0.017977434062844203
-812000,17,0.017553181299981183
-811000,17,0.01714476619662145
-810000,16,0.01688391456520501
-809000,16,0.016891670088315977
-808000,17,0.017247001713115818
-807000,17,0.01796499878629598
-806000,18,0.018990083484503845
-805000,20,0.020206015929988247
-804000,21,0.02146037410907085
-803000,22,0.022597659804960587
-802000,23,0.023493077206006237
-801000,24,0.02407886764683705
-800000,24,0.024356901998649292
-799000,24,0.024394586615170386
-798000,24,0.024305208611642284
-797000,24,0.024217635790732803
-796000,24,0.02424286873780869
-795000,24,0.024445686243461714
-794000,24,0.02482834928937903
-793000,25,0.02533034689920171
-792000,25,0.025844210469669688
-791000,26,0.026243461650805606
-790000,26,0.026415763450413552
-789000,26,0.026293049351318765
-788000,25,0.025871128709176162
-787000,25,0.02521383205404812
-786000,24,0.024440539495581927
-785000,23,0.023700004064964086
-784000,23,0.023136743346938802
-783000,22,0.022858103885081277
-782000,22,0.022909954776655233
-781000,23,0.023266875176554694
-780000,23,0.023839176362699648
-779000,24,0.024495004390708522
-778000,25,0.025092105588121152
-777000,25,0.025511500069293567
-776000,25,0.02568486911805729
-775000,25,0.025609027117974217
-774000,25,0.02534403353330746
-773000,24,0.02499552457543213
-772000,24,0.02468572161648567
-771000,24,0.024520354232192267
-770000,24,0.02455973876930695
-769000,24,0.02480123283896345
-768000,25,0.025177492094430175
-767000,25,0.025571072476778964
-766000,25,0.0258419000961669
-765000,25,0.02586095729496353
-764000,25,0.02554198514094446
-763000,24,0.024863459746719465
-762000,23,0.023875451612480062
-761000,22,0.022689649015433792
-760000,21,0.021454920500753046
-759000,20,0.02032430652371361
-758000,19,0.019421406681806367
-757000,18,0.01881425927406208
-756000,18,0.018502962946532416
-755000,18,0.01842391864730659
-754000,18,0.018469499784518423
-753000,18,0.01851818597547515
-752000,18,0.018467644559626177
-751000,18,0.018262538344611307
-750000,17,0.017910150026387763
-749000,17,0.017479921348858306
-748000,17,0.017086971011347526
-747000,16,0.016863607511196362
-746000,16,0.016925822735428177
-745000,17,0.017343010934922208
-744000,18,0.018118396354436996
-743000,19,0.019185056553877748
-742000,20,0.020418631991765107
-741000,21,0.02166374440670626
-740000,22,0.022767802253363216
-739000,23,0.023614069259199257
-738000,24,0.02414605306877306
-737000,24,0.024377390640286888
-736000,24,0.024384946810765418
-735000,24,0.02428693605465032
-734000,24,0.024211523332323615
-733000,24,0.024263666268630135
-732000,24,0.02449836403523612
-731000,24,0.024906880632138747
-730000,25,0.025419304102152013
-729000,25,0.025922774726614126
-728000,26,0.026290851903222306
-727000,26,0.026416738152622365
-726000,26,0.026242114096177622
-725000,25,0.025774397259395253
